Title,Genre,Year,Score,Description,Poster_URL
Мстители: Эра Альтрона,"Action, Adventure, Sci-Fi",2015,7.4,"Когда Тони Старк и Брюс Беннер пытаются запустить спящую миротворческую программу под названием «Альтрон», дела идут ужасно плохо, и только самые могущественные герои Земли могут помешать злодею Альтрону осуществить его ужасный план.",https://image.tmdb.org/t/p/w500/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg
Гранд Будапешт Отель,"Adventure, Comedy, Drama",2014,8.1,"Приключения Густава Х., легендарного консьержа в знаменитом отеле вымышленной Республики Зубровка между Первой и Второй мировыми войнами, и Зеро Мустафы, консьержа, который становится его самым верным другом.",https://image.tmdb.org/t/p/w500/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg
Мой парень - псих,"Comedy, Drama, Romance",2012,7.7,"После пребывания в психиатрической больнице бывший учитель Пэт Солитано возвращается к родителям и пытается помириться с бывшей женой. Все становится сложнее, когда Пэт встречает Тиффани, загадочную девушку со своими собственными проблемами.",https://image.tmdb.org/t/p/w500/y7iOVneBvITlBdhy6tVqXVOa1Js.jpg
Люди Икс: Дни минувшего будущего,"Action, Adventure, Sci-Fi",2014,8,"Люди Икс отправляют Росомаху в прошлое в отчаянной попытке изменить историю и предотвратить событие, которое приведет к гибели как людей, так и мутантов.",https://image.tmdb.org/t/p/w500/tYfijzolzgoMOtegh1Y7j2Enorg.jpg
Игра в имитацию,"Biography, Drama, Thriller",2014,8,Во время Второй мировой войны английский математический гений Алан Тьюринг пытается взломать немецкий код «Энигмы» с помощью коллег-математиков.,https://image.tmdb.org/t/p/w500/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg
X: Первый класс,"Action, Adventure, Sci-Fi",2011,7.7,"В 1962 году правительство США прибегает к помощи мутантов со сверхчеловеческими способностями, чтобы остановить злобного диктатора, который намерен развязать Третью мировую войну.",https://image.tmdb.org/t/p/w500/hNEokmUke0dazoBhttFN0o3L7Xv.jpg
Как приручить дракона,"Animation, Action, Adventure",2010,8.1,"Незадачливый молодой викинг, который стремится охотиться на драконов, неожиданно становится другом молодого дракона и узнает, что эти существа могут быть гораздо более опасными, чем он предполагал.",https://image.tmdb.org/t/p/w500/7C9EKQJpYmmTKecZen1esZBDX6g.jpg
Ревенант,"Action, Adventure, Biography",2015,8,"В 1820-х годах переселенец, участвовавший в экспедиции по торговле пушниной, борется за выживание после того, как на него напал медведь и его бросили умирать члены его собственной охотничьей команды.",https://image.tmdb.org/t/p/w500/ji3ecJphATlVgWNY0B0RVXZizdf.jpg
«Скайфолл»,"Action, Adventure, Thriller",2012,7.8,"Лояльность Бонда к М подвергается испытанию, когда ее прошлое возвращается, чтобы преследовать ее. Когда МИ-6 подвергается нападению, 007 должен выследить и уничтожить угрозу, независимо от того, насколько личной ценой это будет.",https://image.tmdb.org/t/p/w500/d0IVecFQvsGdSbnMAHqiYsNYaJT.jpg
Хлыстовая травма,"Drama, Music",2014,8.5,"Перспективный молодой барабанщик поступает в престижную музыкальную консерваторию, где его мечты о величии воплощаются в жизнь под руководством преподавателя, который не остановится ни перед чем, чтобы раскрыть потенциал ученика.",https://image.tmdb.org/t/p/w500/7fn624j5lj3xTme2SgiLCeuedmO.jpg
Речь короля,"Biography, Drama, History",2010,8,"История короля Георга VI, его внезапного восхождения на престол Британской империи в 1936 году и логопеда, который помог неуверенному монарху преодолеть заикание.",https://image.tmdb.org/t/p/w500/uQ538BfYLDJh3GXlzRZLo0j7PFj.jpg
Голодные игры: И вспыхнет пламя,"Action, Adventure, Mystery",2013,7.5,"Китнисс Эвердин и Пит Мелларк становятся мишенями Капитолия после того, как их победа в 74-х Голодных играх вызывает восстание в дистриктах Панема.",https://image.tmdb.org/t/p/w500/xLOTc1DEMJseC2rGCk88Bjggg06.jpg
12 лет рабства,"Biography, Drama, History",2013,8.1,"В довоенных Соединенных Штатах Соломон Нортап, свободный чернокожий мужчина из северной части штата Нью-Йорк, был похищен и продан в рабство.",https://image.tmdb.org/t/p/w500/xdANQijuNrJaw1HA61rDccME4Tm.jpg
Социальная сеть,"Biography, Drama",2010,7.7,"Студент Гарварда Марк Цукерберг создает социальную сеть, которая впоследствии станет известна как Facebook, но позже на него подали в суд два брата, утверждавшие, что он украл их идею, а также соучредитель, которого впоследствии вытеснили из бизнеса.",https://image.tmdb.org/t/p/w500/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg
Хоббит: Пустошь Смауга,"Adventure, Fantasy",2013,7.8,"Гномы вместе с Бильбо Бэггинсом и Гэндальфом Серым продолжают свой поход по отвоеванию Эребора, своей родины, у Смауга. У Бильбо Бэггинса есть таинственное и магическое кольцо.",https://image.tmdb.org/t/p/w500/xQYiXsheRCDBA39DOrmaw1aSpbk.jpg
Бэтмен против Супермена: На заре справедливости,"Action, Adventure, Fantasy",2016,6.5,"Опасаясь, что действия Супермена останутся безнаказанными, Бэтмен бросает вызов Человеку из стали, в то время как мир ломает голову над тем, какой герой ему действительно нужен.",https://image.tmdb.org/t/p/w500/5UsK3grJvtQrtzEgqNlDljJW96w.jpg
Война миров Z,"Action, Adventure, Horror",2013,7,"Бывший сотрудник Организации Объединенных Наций Джерри Лейн путешествует по миру в гонке со временем, чтобы остановить пандемию зомби, которая свергает армии и правительства и грозит уничтожить само человечество.",https://image.tmdb.org/t/p/w500/aCnVdvExw6UWSeQfr0tUH3jr4qG.jpg
Теперь ты меня видишь,"Crime, Mystery, Thriller",2013,7.3,"Агент ФБР и детектив Интерпола выслеживают команду иллюзионистов, которые во время своих выступлений проворачивают ограбления банков и вознаграждают свою публику деньгами.",https://image.tmdb.org/t/p/w500/tWsNYbrqy1p1w6K9zRk0mSchztT.jpg
Капитан Америка: Противостояние,"Action, Adventure, Sci-Fi",2016,7.8,Политическое вмешательство в деятельность Мстителей приводит к расколу между Капитаном Америкой и Железным Человеком.,https://image.tmdb.org/t/p/w500/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg
Прометей,"Adventure, Mystery, Sci-Fi",2012,7,"В поисках подсказок о происхождении человечества команда находит сооружение на далекой луне, но вскоре они понимают, что они не одни.",https://image.tmdb.org/t/p/w500/4xXGpKSZAzlH3yE0ddiCcPkBDOZ.jpg
Грань будущего,"Action, Sci-Fi",2014,7.9,"Солдат, сражающийся с инопланетянами, снова и снова проживает один и тот же день, который начинается заново каждый раз, когда он умирает.",https://image.tmdb.org/t/p/w500/xjw5trHV7Mwo61P0kCTy8paEkgO.jpg
Тед,"Comedy, Fantasy",2012,6.9,"Джон Беннетт, человек, чье детское желание оживить своего плюшевого мишку осуществилось, теперь должен сделать выбор между сохранением отношений с медведем или со своей девушкой Лори.",https://image.tmdb.org/t/p/w500/f8wc3kh0lYRaWcZAL71iXn09FQs.jpg
Kingsman: Секретная служба,"Action, Adventure, Comedy",2014,7.7,"Шпионская организация вербует необразованного, но многообещающего уличного парня в свою сверхконкурентную программу подготовки, в то время как извращенный технический гений начинает представлять собой глобальную угрозу.",https://image.tmdb.org/t/p/w500/r6q9wZK5a2K51KFj4LWVID6Ja1r.jpg
Арго,"Biography, Drama, Thriller",2012,7.7,"Действуя под прикрытием голливудского продюсера, подыскивающего место для съемок научно-фантастического фильма, агент ЦРУ начинает опасную операцию по спасению шести американцев в Тегеране во время кризиса с заложниками в Иране в 1979 году.",https://image.tmdb.org/t/p/w500/mzX4Kt0n4lWlPplud3mGT9fOkop.jpg
Мир Юрского периода,"Action, Adventure, Sci-Fi",2015,7,"В новом тематическом парке, построенном на месте оригинального Парка Юрского периода, создается генетически модифицированный гибридный динозавр, который сбегает из-под стражи и начинает убивать.",https://image.tmdb.org/t/p/w500/kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg
Логан,"Action, Drama, Sci-Fi",2017,8.1,"В недалеком будущем уставший Логан ухаживает за больным Профессором Икс где-то на мексиканской границе. Однако попытки Логана спрятаться от мира и его наследия рушатся, когда появляется молодой мутант, преследуемый темными силами.",https://image.tmdb.org/t/p/w500/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg
Мстители: Война бесконечности,"Action, Adventure, Fantasy",2018,8.6,"Мстители и их союзники должны быть готовы пожертвовать всем в попытке победить могущественного Таноса, прежде чем его разрушительная и разрушительная сила положит конец вселенной.",https://image.tmdb.org/t/p/w500/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg
Жизнь Пи,"Adventure, Drama, Fantasy",2012,7.9,"Молодой человек, переживший катастрофу в море, попадает в эпическое путешествие, полное приключений и открытий. Будучи выброшенным на берег, он устанавливает неожиданную связь с другим выжившим: грозным бенгальским тигром.",https://image.tmdb.org/t/p/w500/pMmyocrIuIMH4D7QwGDgWfNWdMp.jpg
Удивительный Человек-Паук,"Action, Adventure, Sci-Fi",2012,7,"После того, как Питера Паркера укусил генетически измененный паук, он обрел новые, паучьи способности и отправился на поиски разгадки тайны загадочной смерти своего родителя.",https://image.tmdb.org/t/p/w500/BgcvtsVWLQfjHD6Dr3YYgeSLYk.jpg
Тор: Царство тьмы,"Action, Adventure, Fantasy",2013,7,"Когда доктор Джейн Фостер подвергается проклятию могущественной сущности, известной как Эфир, Тору возвещают о космическом событии, известном как Конвергенция, и о геноциде Темных Эльфов.",https://image.tmdb.org/t/p/w500/wp6OxE4poJ4G7c0U2ZIXasTSMR7.jpg
Водить машину,"Crime, Drama",2011,7.8,"Таинственный голливудский каскадер и механик подрабатывает водителем, сбегающим с места преступления, и попадает в беду, когда ему приходится помочь соседу.",https://image.tmdb.org/t/p/w500/602vevIURmpDfzbnv5Ubi6wIkQm.jpg
Наизнанку,"Animation, Adventure, Comedy",2015,8.2,"После того, как юная Райли покидает свою жизнь на Среднем Западе и переезжает в Сан-Франциско, ее эмоции — Радость, Страх, Гнев, Отвращение и Печаль — сталкиваются с проблемой, как лучше всего приспособиться к новому городу, дому и школе.",https://image.tmdb.org/t/p/w500/i1ykLCPK22UM4eqbgksj9yjxqVD.jpg
Заключенные,"Crime, Drama, Mystery",2013,8.1,"Когда дочь Келлера Довера и ее подруга пропадают, он берет дело в свои руки, поскольку полиция расследует множество версий, а давление нарастает.",https://image.tmdb.org/t/p/w500/qg9gzYqONDAj79VwQ0VxhkhoTke.jpg
Отряд Самоубийц,"Action, Adventure, Fantasy",2016,6.1,"Секретное правительственное агентство вербует некоторых из самых опасных заключенных суперзлодеев, чтобы сформировать оборонительную оперативную группу. Их первая миссия: спасти мир от апокалипсиса.",https://image.tmdb.org/t/p/w500/sk3FZgh3sRrmr8vyhaitNobMcfh.jpg
Замороженный,"Animation, Adventure, Comedy",2013,7.5,"Когда недавно коронованная королева Эльза случайно использует свою силу превращать вещи в лед, чтобы навлечь на свой дом вечную зиму, ее сестра Анна объединяется с горцем, его игривым оленем и снеговиком, чтобы изменить погодные условия.",https://image.tmdb.org/t/p/w500/y8HtL6pyjfODdHOFgciFVFmt8Eq.jpg
Бёрдмэн или (Неожиданная добродетель невежества),"Comedy, Drama",2014,7.7,"Неудачливый актер-супергерой пытается возродить свою угасающую карьеру, написав сценарий, став режиссером и сыграв главную роль в бродвейской постановке.",https://image.tmdb.org/t/p/w500/rHUg2AuIuLSIYMYFgavVwqt1jtc.jpg
Лупер,"Action, Crime, Drama",2012,7.4,"В 2074 году, когда мафия хочет избавиться от кого-то, цель отправляется в прошлое, где его поджидает наемный убийца — кто-то вроде Джо, — который однажды узнает, что мафия хочет «замкнуть круг», отправив в прошлое будущее «я» Джо для убийства.",https://image.tmdb.org/t/p/w500/sNjL6SqErDBE8OUZlrDLkexfsCj.jpg
Надрать задницу,"Action, Comedy",2010,7.6,"Дэйв Лизевски — незаметный старшеклассник и фанат комиксов, который однажды решает стать супергероем, хотя у него нет никаких способностей, подготовки или веских причин для этого.",https://image.tmdb.org/t/p/w500/8citjdBmjddZjlPsAHEyCKwGVvD.jpg
Безграничный,"Mystery, Sci-Fi, Thriller",2011,7.4,"С помощью таинственной таблетки, которая позволяет ее потребителю получить доступ к ста процентам возможностей своего мозга, бедствующий писатель становится финансовым гением, но это также помещает его в новый мир, полный опасностей.",https://image.tmdb.org/t/p/w500/z6uPuxzFJs7OyTPrl5V0XUITKj5.jpg
Прибытие,"Drama, Mystery, Sci-Fi",2016,7.9,"Военные нанимают лингвиста для общения с инопланетными формами жизни после того, как по всему миру приземлились двенадцать таинственных космических кораблей.",https://image.tmdb.org/t/p/w500/wI1M5acytqIpIl7K0RTs5SvCERf.jpg
21 Джамп Стрит,"Action, Comedy, Crime",2012,7.2,"Пару неуспевающих полицейских отправляют обратно в местную среднюю школу, чтобы они вписались в коллектив и раскрыли сеть по сбыту синтетических наркотиков.",https://image.tmdb.org/t/p/w500/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg
Восстание планеты обезьян,"Action, Drama, Sci-Fi",2011,7.6,"Вещество, призванное помочь мозгу восстановиться, наделило шимпанзе, возглавившего восстание обезьян, развитым интеллектом.",https://image.tmdb.org/t/p/w500/oqA45qMyyo1TtrnVEBKxqmTPhbN.jpg
Доктор Стрэндж,"Action, Adventure, Fantasy",2016,7.5,"Находясь на пути физического и духовного исцеления, блестящий нейрохирург оказывается вовлечённым в мир мистических искусств.",https://image.tmdb.org/t/p/w500/uGBVj3bEbCoZbDjjl9wTxcygko1.jpg
Человек-муравей,"Action, Adventure, Comedy",2015,7.3,"Вооружившись суперкостюмом с удивительной способностью уменьшаться в размерах, но увеличивать свою силу, грабитель Скотт Лэнг должен раскрыть в себе героя и помочь своему наставнику, доктору Хэнку Пиму, спланировать и осуществить ограбление, которое спасет мир.",https://image.tmdb.org/t/p/w500/qnqGbB22YJ7dSs4o6M7exTpNxPz.jpg
Гадкий я,"Animation, Comedy, Family",2010,7.7,"Когда преступный гений использует трех девочек-сирот в качестве пешек для своего грандиозного плана, он обнаруживает, что их любовь кардинально меняет его в лучшую сторону.",https://image.tmdb.org/t/p/w500/wWba3TaojhK7NdycRhoQpsG0FaH.jpg
Изгой-один,"Action, Adventure, Sci-Fi",2016,7.8,Дочь имперского ученого присоединяется к Альянсу повстанцев в рискованном походе по краже чертежей Звезды Смерти.,https://image.tmdb.org/t/p/w500/gmTOhwzcSbEGG3xKRfQwwS2BTXD.jpg
Ее,"Drama, Romance, Sci-Fi",2013,8,"В недалеком будущем одинокий писатель заводит необычные отношения с операционной системой, призванной удовлетворить все его потребности.",https://image.tmdb.org/t/p/w500/mCmdR9l5BaXExM5mSBFZHIodMnM.jpg
Чудо-женщина,"Action, Adventure, Fantasy",2017,7.5,"Когда пилот терпит крушение и рассказывает о конфликте во внешнем мире, Диана, амазонская воительница, проходящая обучение, покидает дом, чтобы сражаться на войне, открывая для себя всю свою силу и истинное предназначение.",https://image.tmdb.org/t/p/w500/imekS7f1OuHyUP2LAiTEM0zBzUz.jpg
Забвение,"Action, Adventure, Mystery",2013,7,"Ветеран, которому поручено добывать оставшиеся ресурсы Земли, начинает сомневаться в том, что он знает о своей миссии и о себе.",https://image.tmdb.org/t/p/w500/eO3r38fwnhb58M1YgcjQBd3VNcp.jpg
Исходный код,"Mystery, Romance, Sci-Fi",2011,7.5,"Солдат просыпается в чужом теле и обнаруживает, что он является частью экспериментальной правительственной программы по поиску террориста-смертника пригородного поезда. На выполнение задания у него есть всего 8 минут.",https://image.tmdb.org/t/p/w500/zXJe3nXCp7ggE3rLbhDx8jWZ4qn.jpg
Звездный путь во тьму,"Action, Adventure, Sci-Fi",2013,7.7,"После того, как экипаж «Энтерпрайза» обнаруживает непреодолимую силу террора внутри своей собственной организации, капитан Кирк возглавляет охоту на человека в зоне боевых действий, чтобы захватить оружие массового поражения, управляемое одним человеком.",https://image.tmdb.org/t/p/w500/7XrRkhMa9lQ71RszzSyVrJVvhyS.jpg
Тихоокеанский рубеж,"Action, Adventure, Sci-Fi",2013,6.9,"В то время как война между человечеством и чудовищными морскими существами продолжается, бывший пилот и стажер объединяются, чтобы управлять, казалось бы, устаревшим специальным оружием в отчаянной попытке спасти мир от апокалипсиса.",https://image.tmdb.org/t/p/w500/mmznhaQDwlHWpUwKuNxtQiubbmM.jpg
Пираты Карибского моря: На странных берегах,"Action, Adventure, Fantasy",2011,6.6,"Джек Воробей и Барбосса отправляются на поиски неуловимого источника молодости, но обнаруживают, что Черная Борода и его дочь тоже охотятся за ним.",https://image.tmdb.org/t/p/w500/keGfSvCmYj7CvdRx36OdVrAEibE.jpg
Дюнкерк,"Action, Drama, History",2017,7.9,"Солдаты союзников из Бельгии, Британской империи и Франции окружены немецкой армией и эвакуированы во время ожесточенного сражения Второй мировой войны.",https://image.tmdb.org/t/p/w500/b4Oe15CGLL61Ped0RAS9JpqdmCt.jpg
"Безумная, глупая, любовь.","Comedy, Drama, Romance",2011,7.4,"Жизнь мужа средних лет резко меняется, когда его жена просит его о разводе. Он пытается заново обрести свою мужественность с помощью нового друга, Джейкоба, учась знакомиться с девушками в барах.",https://image.tmdb.org/t/p/w500/p4RafgAPk558muOjnBMHhMArjS2.jpg
Звездные войны: Эпизод VIII - Последние джедаи,"Action, Adventure, Fantasy",2017,7.2,"Рей развивает свои недавно обнаруженные способности под руководством Люка Скайуокера, который обеспокоен силой ее способностей. Тем временем Сопротивление готовится к битве с Первым Орденом.",https://image.tmdb.org/t/p/w500/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg
Хоббит: Битва пяти воинств,"Adventure, Fantasy",2014,7.4,"Бильбо и его компания вынуждены вступить в войну с многочисленными противниками и не допустить, чтобы Одинокая Гора попала в руки надвигающейся тьмы.",https://image.tmdb.org/t/p/w500/xT98tLqatZPQApyRmlPL12LtiWp.jpg
Похмелье Часть II,"Comedy, Mystery",2011,6.5,"Спустя два года после мальчишника в Лас-Вегасе Фил, Стю, Алан и Дуг летят в Таиланд на свадьбу Стю. Однако план Стю провести скромный предсвадебный бранч серьезно срывается.",https://image.tmdb.org/t/p/w500/jrP9zmdSUpOzzUXpEqPqg3dryUr.jpg
Стражи Галактики: Том 2,"Action, Adventure, Comedy",2017,7.7,"Стражи должны бороться за сохранение своей новой семьи, разгадывая тайну истинного происхождения Питера Квилла.",https://image.tmdb.org/t/p/w500/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg
Великий Гэтсби,"Drama, Romance",2013,7.3,"Писатель и трейдер с Уолл-стрит Ник обнаруживает, что его влечет прошлое и образ жизни его соседа-миллионера Джея Гэтсби.",https://image.tmdb.org/t/p/w500/tyxfCBQv6Ap74jcu3xd7aBiaa29.jpg
Миссия невыполнима - Протокол Фантом,"Action, Adventure, Thriller",2011,7.4,"МВФ закрывается после того, как его обвиняют в организации бомбардировки Кремля, из-за чего Итан Хант и его новая команда вынуждены пойти на крайние меры, чтобы очистить имя своей организации.",https://image.tmdb.org/t/p/w500/eRZTGx7GsiKqPch96k27LK005ZL.jpg
Хорошо быть тихоней,"Drama, Romance",2012,8,"Первокурсника-интроверта берут под опеку двое старшеклассников, которые приветствуют его в реальном мире.",https://image.tmdb.org/t/p/w500/aKCvdFFF5n80P2VdS7d8YBwbCjh.jpg
Черная пантера,"Action, Adventure, Sci-Fi",2018,7.4,"Т'Чалла, наследник скрытого, но развитого королевства Ваканда, должен выступить вперед, чтобы повести свой народ в новое будущее, и должен противостоять противнику из прошлого своей страны.",https://image.tmdb.org/t/p/w500/auiRFbbnMhnclaIMNGcQg0Uba8Y.jpg
Омерзительная восьмерка,"Crime, Drama, Mystery",2015,7.8,"В разгар зимы в Вайоминге охотник за головами и его пленник находят убежище в хижине, в которой в настоящее время обитает группа мерзких личностей.",https://image.tmdb.org/t/p/w500/jIywvdPjia2t3eKYbjVTcwBQlG8.jpg
