title,authors,published_year,categories,thumbnail,description,average_rating,num_pages
Король былого и грядущего,Terence Hanbury White,1996.0,Arthurian romances,http://books.google.com/books/content?id=Jx6BvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Омнибус полной истории авторского эпоса, который включает в себя: «Меч в камне» (1939), «Ведьма в лесу» (1939), «Плотно-приготовленный рыцарь» (1940), «The TheСвеча на ветру »(опубликована впервые), и« Книга Мерлин ».1996.",4.04,823.0
Убийство в Ламуте,Raymond E. Feist;Joel Rosenberg,2003.0,Adventure stories,http://books.google.com/books/content?id=I2jbBlMHlAMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Доступно в США впервые, это второй том в исключительных легендах серии Riftwar от «New York Times» авторов Feist и Rosenberg.",3.7,337.0
Джимми Рука,Raymond E. Feist;S. M. Stirling,2003.0,Fantasy fiction,http://books.google.com/books/content?id=hV4-oITYFN8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Джимми рука, мальчик -вор Крондора, жил в тени города.Несмотря на то, что Джимми был одарен за пределами своих сверстников,-это просто карманник с потенциалом-до тех пор, пока он не поможет принцу Аруту на спасении принцессы Аниты от герцога Гая дю-бас-Тайра и бежит в секретной полиции «черного парня».Столкнувшись с выбором между исчезновением самостоятельно или в взвешенном бочке на дне гавани Крондора, Джимми выбирает первого.Вынужденный покинуть единственный дом, который он когда -либо знал, Джимми оказывается среди ничего не подозревающих сельских жителей конца земли, где он надеется процветать со своими талантами для мошенничества и воровства.Но конец земли является домом для многих, кто идет по кривой дорожке-и к темному, опасному присутствию даже местные контрабандисты не узнают.И вдруг юношеская бравада и мужество Джимми приводят его в маус.ПолемПолемИ, вполне возможно, к его гибели.",3.95,368.0
Свидетель обвинения и избранные пьесы,Agatha Christie,1995.0,English drama,http://books.google.com/books/content?id=_9u7AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Недавно врученное издание, предназначенное для празднования 50-летия безупречного заговора Christie's Sitember для обвинения и других выдающихся пьес.Идеальное дополнение к последнему изданию MouseTrap и Selected Plays (50th Aniversary Edition).Хедлайнером этой книги является свидетелем очень успешной пьесы Christie's Christie's, которая получила премию New York Drama Critics Circle за лучшую иностранную игру.Потрясающая драма в зале суда, она рассказывает историю о том, как жена, свидетельствующая о ее муже, в шокирующем судебном процессе.Дикая красота приморского дома, расположенного высоко на реке Девоншир, обеспечивает потрясающую спину в сторону нуля, поскольку психопатические убийцы дома на ничего не подозревающих жертв.Страсть, убийство и любовь - это смертельные ингредиенты в вердикте, что делает его одним из более необычных триллеров Christie и побуждает ее назвать ее лучшей игрой, которую я написал, за исключением свидетеля для судебного преследования.Вернуться за убийством рассказывает историю молодой и злющей Карлы, которая, осиротевшая в нежном возрасте пяти лет, обнаруживает, что ее мать была замечена за убийство своего отца и решила доказать ее невиновность.",4.05,352.0
Маленький Дом,Philippa Gregory,1998.0,Country life,http://books.google.com/books/content?id=rbvUPps9vKsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Элизабет было легко.Она вышла замуж за мужчину, которого любила.Это было сложнее для Рут.Она вышла замуж за сына Элизабет, а затем обнаружила, что каким -то образом она никогда не сможет измерить.Этот триллер исследует, чего хотят женщины и чего они боятся, когда Рут противостоит изменяющимся границам ее собственного здравомыслия.",3.66,368.0
Мистические Пути,Susan Howatch,1996.0,English fiction,http://books.google.com/books/content?id=by4ytBy63o0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"1968 г. находит, как Николас Дарроу борется с личными проблемами.Как он может жениться на Розалинде, когда не может избежать распущенности?Как он может стать священником, когда ему так трудно жить как единое целое?И может ли он нарушить свою опасную зависимость от своего отца?",4.23,576.0
Блестящие изображения,Susan Howatch,1996.0,English fiction,http://books.google.com/books/content?id=rDHbn0ORKhQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Это 1937 год, и Чарльз Эшворт, канон архиепископа Кентербери, отправляется распутать сеть самообмана и коррупции в епископском дворце харизматического епископа Старбриджа.",4.07,512.0
Гламурные силы,Susan Howatch,1996.0,Clergy,http://books.google.com/books/content?id=_bhPYWs6RrYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Переиздание самой известной и любимой работы автора, серии Starbridge, шесть автономных, но взаимосвязанных романов, которые исследуют историю Англии Церкви до 20-го века.",4.2,512.0
Безумный Корабль,Robin Hobb,2000.0,Fantasy fiction,http://books.google.com/books/content?id=2iWezkfdBE8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Мастер Фэнтези Робин Хобб доставляет потрясающий второй том своей трилогии Traders Traders, возвращаясь в вечный город Бингтаун, где пираты теперь мешают побережьям, а страшная работоргодия.У Алтеи Вестрит не хватает времени, чтобы бояться, потому что ее семья, вновь разбудимая ливешип, Vivacia, была захвачена безжалостным пиратом Кеннитом.Итак, Алтея вынашивает смелый план.Но чтобы выполнить это, она должна нанять ливническое вещество, которое уже убило двух экипажей - и, как говорят, безумно.",4.24,906.0
Капитан поста,Patrick O'Brian,1996.0,"Aubrey, Jack (Fictitious character)",http://books.google.com/books/content?id=S761k-z51Q4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Эта сказка начинается с того, что Джек Обри прибыл домой из своих подвигов в Средиземноморье, чтобы найти Англию в мире после Амьев.Он и его друг Стивен Матурин, хирург и секретный агент, начинают жить жизнью деревенских джентльменов, охоты, развлечения и наслаждаться более любовными приключениями.Однако их комфортное существование прерывается, когда Джек в течение ночи превращается в ниток с достаточным количеством долгов, чтобы держать его в тюрьме на всю жизнь.Он убегает на континент, чтобы искать убежища: вместо этого он находит себя охотничьим беглецом, поскольку Наполеон заказал интернирование всех англичан во Франции.Приключения Обри в сбеге из Франции и тюрьмы должников схватят читателя так же быстро, как и его неравные действия в море.",4.29,474.0
Обратная сторона медали,Patrick O'Brian,1997.0,Adventure stories,http://books.google.com/books/content?id=YtjxFRb39Z4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"В этой книге Джек Обри возвращается от своих обязанностей, защищающих китоходов от южноамериканского побережья и убежден случайным знакомым, чтобы инвестировать в город в силу предположительно определенной информации.Оттуда его ведут в полу мир Лондонского преступного подполья и правительственного шпионажа - провинции его друга Стивена Матурина.",4.41,261.0
Мисс Марпл,Agatha Christie,1997.0,"Detective and mystery stories, English",http://books.google.com/books/content?id=a96qPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Мисс Марпл показала в 20 рассказов, опубликованных в ряде различных коллекций в Великобритании и Америке.Представленная здесь в порядке публикации, мисс Марпл использует свое уникальное понимание, чтобы вывести правду о серии нерешенных преступлений.",4.2,359.0
Годы риса и соли,Kim Stanley Robinson,2003.0,Black Death,http://books.google.com/books/content?id=I38CFD1RnmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Провозглашенный «Обзором книги« Нью-Йорк Таймс »как« открытие глаза », эта альтернативная история последних 600 лет начинается, когда Черная смерть убивает почти всех в Европе, а Китай, Индия и Нации Ислама теперь контролируют мирПолем",3.73,772.0
Запчасти,Michael Marshall Smith,1998.0,Human cloning,http://books.google.com/books/content?id=83RrAdP9y5UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Запады - человеческие клоны, окончательное медицинское страхование.Основ на глаза - но некоторые люди делают все.История Джека Рэндалла: сгорев, выпала и перегружена в Банке удачи.Но как смотритель на ферме запасных людей, у него все еще есть выбор, и это может иметь значение.",4.13,317.0
Гравитация,Tess Gerritsen,2004.0,Science fiction,http://books.google.com/books/content?id=KI66cH39n6sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Эмма Уотсон. Исследовательский врач тренировалась для миссии на всю жизнь: изучать живые организмы в микрогравитации пространства.Но истинный и смертельный характер эксперимента не был раскрыт НАСА и однажды на борту космической станции все начинают идти не так.Культура одноклеточных археонов, собранная с глубокого моря, начинает быстро размножаться и заражать экипаж - со смертельными и мучительными результатами.В качестве ее отчужденного мужа и наземной команды в НАСА работают против часов, чтобы запустить спасение Эммы Стагглс, чтобы сдержать смертельный микроб.Но с инфекцией, угрожающим населением Земли, есть те, кто оставил бы астронавтов на орбите, карантин на борт станции.",4.04,342.0
Мудрая Женщина,Philippa Gregory,2002.0,Great Britain,http://books.google.com/books/content?id=BEr9wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Один и уязвимый, Алис присоединяется к монастырям в попытке избежать бедности, но оказывается возвращенной обратно во внешний мир, когда врушители Генриха VIII разрушают ее святилище.С ее внешностью, ее магией и ее собственной инстинктивной хитростью, Алис должен идти по опасному пути между верой ее детства и собственной женской силой.Когда она влюбляется в Хьюго, феодального лорда и мужа другой женщины, она погружается в колдовство, чтобы победить своего соперника и победить своего любовника, только чтобы обнаружить, что магия делает бедного слуги, но доминирующего мастера.Поскольку ересь против новой церкви означает долю, а колдовство - веревка, опасность Алиса - смертная.Силы женщины больше не безопасны для использования ...",3.31,640.0
Девичник в,Jessica Adams;Chris Manby;Fiona Walker,2000.0,American fiction,http://books.google.com/books/content?id=xLwHHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"«Ночь девушек» в «Ночь» рассказывает о росте, росте, выходе, выходе, дальнейшем развалите и собирании все вместе.Так что выключите свой мобильный телефон и сверните на диване: это одна из «девочек» в «Вы не захотите пропустить».",3.26,586.0
Белый Альбом,Joan Didion,1993.0,American essays,http://books.google.com/books/content?id=qauOPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"В этой коллекции очерков рассказывается о том, что произошло в долгий утро после 1960 -х годов, когда все спускались из своей особой плохой поездки.Дидион наблюдает за драмами, которые взрываются, когда Америка входит в коллективную детоксикацию: мать отказывается от своей пятилетней дочери в центральной резервации межштатной автомагистрали 5;Хьюи Ньютон и Черные Пантеры проповедуют из своих клеток;Студенты в бессознательной пародии, имитируя недовольство 1960 -х годов.",4.17,224.0
Дочь Костоправа,Amy Tan,2001.0,China,http://books.google.com/books/content?id=4KHT6mIMDt4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Рассказывает историю трех поколений китайских женщин, начиная с рубежа века.",3.98,352.0
Lexus и оливковое дерево,Thomas L. Friedman,2000.0,Capitalism,http://books.google.com/books/content?id=u8zxpq6o7HYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Половина этого нового, после холодного мира намерена построить лучший лесус, оптимизировать свои общества и экономики для мирового рынка, в то время как другая половина заперта в стиле борьбы за то, кто владеет тем, каким оливковым деревом, какая полоса земли.",3.59,352.0
'Это,Frank McCourt,2000.0,Ireland,http://books.google.com/books/content?id=Q3BhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"От победителя Pulizer автора № 1 «New York Times» бестселлера Анжелы «Пепел» Фрэнка МакКурта «Славенные мемуары детства», «Пепел Анжелы», были любимы и отмечались читателями повсюду.Он выиграл награду «Национальная книга Критиков», «Лос -Анджелес Таймс» и «Премия Пулитцеровской премии».Редко есть книга, которая так быстро находит свое место в литературном ландшафте.И теперь у нас есть «TIS», история американского путешествия Фрэнка от бедного иммигранта до блестящего учителя и raconteur.Фрэнк приземляется в Нью -Йорке в девятнадцать лет и получает работу в отеле Biltmore, где он сразу же сталкивается с яркими иерархиями этой «бесклассовой страны», а затем призван в армию и отправляется в Германию для обучения собак и типовых отчетов.Это несравненный голос Фрэнка, который делает эти переживания завораживающими.Когда Фрэнк возвращается в Америку в 1953 году, он работает в доках, всегда сопротивляясь тому, что все говорят ему.Он знает, что он должен получить образование, и хотя он ушел в школу в четырнадцать лет, он говорит в Нью -Йоркском университете.Там он влюбляется в типичный янки и пытается жить своей мечтой.Но только когда он начнет учиться, Фрэнк находит свое место в мире.",3.68,495.0
Океан Стар Экспресс,Mark Haddon;Peter Sutton,2002.0,Juvenile Fiction,http://books.google.com/books/content?id=I2QZAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Джо и его родители наслаждаются летним отпусками у моря в отеле Ocean Star.Небо ярко -голубое, солнце светит, и Джо любит все, что может предложить примор.Но когда туман катится, и дождь падает, Джо начинает желать, чтобы он снова вернулся домой.Однако все меняется, когда владелец отеля приглашает Джо поделиться в волшебном мире, всего в нескольких шагах.Лофт черный, как ночь, но затем над головой Джо тысяча крошечных звезд начинает сверкать, и на расстоянии он слышит, как чуг-чуг-чуг модельного поезда.Вскоре должен открыться целый мир, прежде чем глаза Джо, мир снежных гор, большие пустыни и качающие рыбацкие лодки.",3.5,32.0
Немного погоды,Joan Aiken,2000.0,"Children's stories, English",http://books.google.com/books/content?id=QiFhOBpYZoYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Волшебная и фантастическая коллекция ранних историй одного из самых оригинальных детских авторов 20 -го века.В возрасте 8-11 лет.,4.27,239.0
Коко,Peter Straub,2001.0,Male friendship,http://books.google.com/books/content?id=QV_XQKj4OMkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Коко - это набег Питера Штрауба в психологический ужас войны во Вьетнаме.,3.56,634.0
Дерево и лист,John Ronald Reuel Tolkien,2001.0,Literary Collections,http://books.google.com/books/content?id=aPb_AAIcwZ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"«Две работы« на сказках »и« Leaf By Niggle »были впервые собраны, чтобы сформировать книгу« Дерево и лист »в 1964 году. В этом новом издании добавлен третий элемент: мифоопоэя стихотворения, создание мифов...""--Предисловие.",4.09,176.0
Партнеры по преступлению,Agatha Christie,2001.0,"Beresford, Tommy (Fictitious character)",http://books.google.com/books/content?id=L0bfy0zgkegC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Знаменитый том Tommy & Tuppence связал рассказы, переизданный в новом взгляде, чтобы совпадать с новой серией фильмов Tommy & Tuppence BBC.Томми и Таппенс Бересфорд были беспокойны для приключений, поэтому, когда их попросили взять на себя международное детективное агентство Blunt S, они снялись с этим шансом.После их триумфального выздоровления розовой жемчужины интригующие дела продолжали идти своим путем: нанесение удара на поле для гольфа Sunningdale;Загадочные сообщения в личных колонках газет;И даже коробка с отравленными шоколадами.",3.77,347.0
Убийство в Месопотамии,Agatha Christie,2001.0,Detective and mystery stories,http://books.google.com/books/content?id=oFkbc7BbYN0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Жена археолога убита на берегах реки Тигр в Ираке ... Эми было ясно, что в Ираке было ясно, что в Ираке происходило что -то зловещее в Хасани;Что -то, что связано с присутствием «прекрасной Луизы», жены знаменитого археолога доктора Лейднера.Через несколько дней Геркуле Пуаро должен был зайти на место раскопок.Но поскольку Луиза страдает от ужасающих галлюцинаций, и напряженность в группе становится почти невыносимой, Пуаро может быть слишком поздно ...",3.89,264.0
"Властелин колец, Возвращение короля",Jude Fisher,2003.0,Imaginary wars and battles,http://books.google.com/books/content?id=kNBnQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Визуальное руководство по третьему в трилогии фильма «Властелин колец».Большой формат, полноцветное руководство по персонажам, местам, ландшафтам, артефактам, битвам и костюмам, как видно в фильме, в нем изображены изображения, информативный текст и специально заказанные дополнения.",4.59,72.0
Все семьи психопатичны,Douglas Coupland,2002.0,Dysfunctional families,http://books.google.com/books/content?id=jYBsNp6NPVoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"В канун следующей миссии космического шаттла объединяется разделенная семья ... тепло, остроумно и мудрое, все семьи психотичны, - это куплент на самом верху его формы: «Непреодолимо весело, уникальный и замечательный» независимый в воскресенье в воскресенье вДешевый мотель в часе от мыса Канаверал, Джанет Драммонд принимает ее лекарства и делает быстрое количество местонахождения своих детей.Уэйд провел ночь в тюрьме;Суицидальный Брайан должен прибыть в любой момент со своей подругой без гласных, SHW;А потом есть Сара, «болт молнии, замороженного в средней части» - здесь, в Орландо, чтобы стать звездой пятничной миссии челнока.С бывшим мужем Джанет и его трофейной женой, также в городе, Джанет проводит момент, обдумывая свою семью, и где все пошло не так.Или это так?",3.69,279.0
Смерть в облаках,Agatha Christie,2001.0,Detective and mystery stories,http://books.google.com/books/content?id=M8iyckq4GQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Женщина убит отравленным дротиком в закрытых ограничениях коммерческого пассажирского самолета ... С места № 9 Геркуле Пуаро был идеально подходит для наблюдения за своими коллегами -пассажирами.Справа с правой сидел довольно молодая женщина, явно увлеченная мужчиной напротив;Впереди, в сиденье № 13, сидела графиня с плохо осознанной привычкой кокаина;Через багажник в сиденье № 8 писатель детектива обеспокоен агрессивной осой.То, что Пуаро еще не понял, что позади него, в сиденье № 2, сидел смягченное, безжизненное тело женщины.",3.8,333.0
Встреча со смертью,Agatha Christie,2001.0,Detective and mystery stories,http://books.google.com/books/content?id=lSYwsRkcw4YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Во время поездки в Петру была убиваемая вдова Амерки, среди возвышающихся красных скал Петры, как какой -то чудовищный опухший Будда, сидел труп миссис Бойнтон.Крошечная прокола на ее запястье была единственным признаком смертельной инъекции, которая убила ее.Имея всего 24 часа, доступные для решения загадки, Геркуле Пуаро вспомнил случайное замечание, которое он услышал в Иерусалиме: «Видишь ли, не так ли, что ее нужно убить?»Миссис Бойнтон была, действительно, самой отвратительной женщиной, которой он когда -либо встречал ...",3.86,303.0
Вечеринка на Хеллоуин,Agatha Christie,2001.0,"Poirot, Hercule (Fictitious character)",http://books.google.com/books/content?id=Qlx98EGK_jMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Никто не верит маленькой девочке, когда она настаивает на том, что она стала свидетелем убийства, пока сама не окажется утопленной, и Геркуле Пуаро отправляется в ловушку убийцы.",3.66,336.0
Рождество Эркюля Пуаро,Agatha Christie,2001.0,Christmas stories,http://books.google.com/books/content?id=EA0j4Jzn4vAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"В ночь перед Рождеством, жестокий, тиранический, богатый грязным, Симеон Ли находится в его запертой спальне с разрезом горла.Теперь Hercule Poirot должен подвергнуть свои дедуктивные силы для проверки, чтобы решить один из его самых пугающих случаев-и предотвратить пролипать большего количества умного убийцы.",3.93,335.0
Большая четверка,Agatha Christie,2002.0,Detective and mystery stories,http://books.google.com/books/content?id=wcOQUSWQEdUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Безжалостный международный картель ищет мирового господства ... в дверном проеме спальни Пуаро стоял незваный гост, покрытый головой до ноги в пыли.Земное лицо человека на мгновение уставилось, затем он качался и упал.Кто он был?Он страдал от шока или просто истощения?Прежде всего, какова значимость рисунка 4, снова и снова набрасывался на лист бумаги?Пуаро обнаружил, что погрузился в мир международной интриги, рискуя своей жизнью, чтобы раскрыть правду о «номер четыре».",3.59,272.0
