Title,Genre,Year,Score,Description
Железный человек 3,"Action, Adventure, Sci-Fi",2013,7.2,"Когда мир Тони Старка разрывает на части грозный террорист по имени Мандарин, он начинает одиссею восстановления и возмездия."
История игрушек 3,"Animation, Adventure, Comedy",2010,8.3,"Игрушки по ошибке доставляют в детский сад вместо чердака прямо перед отъездом Энди в колледж, и Вуди приходится убедить другие игрушки, что их не бросили, и вернуть домой."
Тор,"Action, Adventure, Fantasy",2011,7.0,"Могущественный, но высокомерный бог Тор изгнан из Асгарда, чтобы жить среди людей в Мидгарде (Земле), где он вскоре становится одним из их лучших защитников."
Марсианин,"Adventure, Drama, Sci-Fi",2015,8.0,"Астронавт оказывается застрявшим на Марсе после того, как его команда сочла его погибшим, и должен положиться на свою изобретательность, чтобы найти способ подать на Землю сигнал о том, что он жив."
Неприкасаемый,"Biography, Comedy, Drama",2011,8.5,"После того, как он стал полностью парализованным из-за несчастного случая во время полета на параплане, аристократ нанимает молодого человека из пригорода в качестве своего опекуна."
Черный лебедь,"Drama, Thriller",2010,8.0,"Преданная своему делу танцовщица получает главную роль в постановке «Лебединого озера» Чайковского, но вскоре обнаруживает, что ей трудно сохранить рассудок."
Еловек из стали,"Action, Adventure, Fantasy",2013,7.1,"Кларк Кент, один из последних представителей вымершей расы, маскирующийся под ничем не примечательного человека, вынужден раскрыть свою личность, когда на Землю вторгается армия выживших, которые угрожают поставить планету на грань уничтожения."
Капитан Америка: Первый мститель,"Action, Adventure, Sci-Fi",2011,6.9,"Стив Роджерс, отвергнутый военный, превращается в Капитана Америку после приема дозы «сыворотки Суперсолдата». Но быть Капитаном Америкой имеет свою цену, когда он пытается уничтожить поджигателя войны и террористическую организацию."
Капитан Америка: Зимний Солдат,"Action, Adventure, Sci-Fi",2014,7.8,"Пока Стив Роджерс пытается принять свою роль в современном мире, он объединяется с коллегой из Мстителей и агентом Щ.И.Т.а, Черной Вдовой, чтобы сразиться с новой угрозой из прошлого: убийцей, известным как Зимний Солдат."
Железный человек 2,"Action, Sci-Fi",2010,7.0,"Теперь, когда весь мир знает, что Тони Старк — Железный Человек, ему приходится бороться как со своим ухудшающимся здоровьем, так и с мстительным безумцем, связанным с наследием его отца."
Мстители: Эра Альтрона,"Action, Adventure, Sci-Fi",2015,7.4,"Когда Тони Старк и Брюс Беннер пытаются запустить спящую миротворческую программу под названием «Альтрон», дела идут ужасно плохо, и только самые могущественные герои Земли могут помешать злодею Альтрону осуществить его ужасный план."
Гранд Будапешт Отель,"Adventure, Comedy, Drama",2014,8.1,"Приключения Густава Х., легендарного консьержа в знаменитом отеле вымышленной Республики Зубровка между Первой и Второй мировыми войнами, и Зеро Мустафы, консьержа, который становится его самым верным другом."
Мой парень - псих,"Comedy, Drama, Romance",2012,7.7,"После пребывания в психиатрической больнице бывший учитель Пэт Солитано возвращается к родителям и пытается помириться с бывшей женой. Все становится сложнее, когда Пэт встречает Тиффани, загадочную девушку со своими собственными проблемами."
Люди Икс: Дни минувшего будущего,"Action, Adventure, Sci-Fi",2014,8.0,"Люди Икс отправляют Росомаху в прошлое в отчаянной попытке изменить историю и предотвратить событие, которое приведет к гибели как людей, так и мутантов."
Игра в имитацию,"Biography, Drama, Thriller",2014,8.0,Во время Второй мировой войны английский математический гений Алан Тьюринг пытается взломать немецкий код «Энигмы» с помощью коллег-математиков.
X: Первый класс,"Action, Adventure, Sci-Fi",2011,7.7,"В 1962 году правительство США прибегает к помощи мутантов со сверхчеловеческими способностями, чтобы остановить злобного диктатора, который намерен развязать Третью мировую войну."
Как приручить дракона,"Animation, Action, Adventure",2010,8.1,"Незадачливый молодой викинг, который стремится охотиться на драконов, неожиданно становится другом молодого дракона и узнает, что эти существа могут быть гораздо более опасными, чем он предполагал."
Ревенант,"Action, Adventure, Biography",2015,8.0,"В 1820-х годах переселенец, участвовавший в экспедиции по торговле пушниной, борется за выживание после того, как на него напал медведь и его бросили умирать члены его собственной охотничьей команды."
«Скайфолл»,"Action, Adventure, Thriller",2012,7.8,"Лояльность Бонда к М подвергается испытанию, когда ее прошлое возвращается, чтобы преследовать ее. Когда МИ-6 подвергается нападению, 007 должен выследить и уничтожить угрозу, независимо от того, насколько личной ценой это будет."
Хлыстовая травма,"Drama, Music",2014,8.5,"Перспективный молодой барабанщик поступает в престижную музыкальную консерваторию, где его мечты о величии воплощаются в жизнь под руководством преподавателя, который не остановится ни перед чем, чтобы раскрыть потенциал ученика."
Речь короля,"Biography, Drama, History",2010,8.0,"История короля Георга VI, его внезапного восхождения на престол Британской империи в 1936 году и логопеда, который помог неуверенному монарху преодолеть заикание."
Голодные игры: И вспыхнет пламя,"Action, Adventure, Mystery",2013,7.5,"Китнисс Эвердин и Пит Мелларк становятся мишенями Капитолия после того, как их победа в 74-х Голодных играх вызывает восстание в дистриктах Панема."
12 лет рабства,"Biography, Drama, History",2013,8.1,"В довоенных Соединенных Штатах Соломон Нортап, свободный чернокожий мужчина из северной части штата Нью-Йорк, был похищен и продан в рабство."
Социальная сеть,"Biography, Drama",2010,7.7,"Студент Гарварда Марк Цукерберг создает социальную сеть, которая впоследствии станет известна как Facebook, но позже на него подали в суд два брата, утверждавшие, что он украл их идею, а также соучредитель, которого впоследствии вытеснили из бизнеса."
Хоббит: Пустошь Смауга,"Adventure, Fantasy",2013,7.8,"Гномы вместе с Бильбо Бэггинсом и Гэндальфом Серым продолжают свой поход по отвоеванию Эребора, своей родины, у Смауга. У Бильбо Бэггинса есть таинственное и магическое кольцо."
Бэтмен против Супермена: На заре справедливости,"Action, Adventure, Fantasy",2016,6.5,"Опасаясь, что действия Супермена останутся безнаказанными, Бэтмен бросает вызов Человеку из стали, в то время как мир ломает голову над тем, какой герой ему действительно нужен."
Война миров Z,"Action, Adventure, Horror",2013,7.0,"Бывший сотрудник Организации Объединенных Наций Джерри Лейн путешествует по миру в гонке со временем, чтобы остановить пандемию зомби, которая свергает армии и правительства и грозит уничтожить само человечество."
Теперь ты меня видишь,"Crime, Mystery, Thriller",2013,7.3,"Агент ФБР и детектив Интерпола выслеживают команду иллюзионистов, которые во время своих выступлений проворачивают ограбления банков и вознаграждают свою публику деньгами."
Капитан Америка: Противостояние,"Action, Adventure, Sci-Fi",2016,7.8,Политическое вмешательство в деятельность Мстителей приводит к расколу между Капитаном Америкой и Железным Человеком.
Прометей,"Adventure, Mystery, Sci-Fi",2012,7.0,"В поисках подсказок о происхождении человечества команда находит сооружение на далекой луне, но вскоре они понимают, что они не одни."
Грань будущего,"Action, Sci-Fi",2014,7.9,"Солдат, сражающийся с инопланетянами, снова и снова проживает один и тот же день, который начинается заново каждый раз, когда он умирает."
Тед,"Comedy, Fantasy",2012,6.9,"Джон Беннетт, человек, чье детское желание оживить своего плюшевого мишку осуществилось, теперь должен сделать выбор между сохранением отношений с медведем или со своей девушкой Лори."
Kingsman: Секретная служба,"Action, Adventure, Comedy",2014,7.7,"Шпионская организация вербует необразованного, но многообещающего уличного парня в свою сверхконкурентную программу подготовки, в то время как извращенный технический гений начинает представлять собой глобальную угрозу."
Арго,"Biography, Drama, Thriller",2012,7.7,"Действуя под прикрытием голливудского продюсера, подыскивающего место для съемок научно-фантастического фильма, агент ЦРУ начинает опасную операцию по спасению шести американцев в Тегеране во время кризиса с заложниками в Иране в 1979 году."
Мир Юрского периода,"Action, Adventure, Sci-Fi",2015,7.0,"В новом тематическом парке, построенном на месте оригинального Парка Юрского периода, создается генетически модифицированный гибридный динозавр, который сбегает из-под стражи и начинает убивать."
Логан,"Action, Drama, Sci-Fi",2017,8.1,"В недалеком будущем уставший Логан ухаживает за больным Профессором Икс где-то на мексиканской границе. Однако попытки Логана спрятаться от мира и его наследия рушатся, когда появляется молодой мутант, преследуемый темными силами."
Мстители: Война бесконечности,"Action, Adventure, Fantasy",2018,8.6,"Мстители и их союзники должны быть готовы пожертвовать всем в попытке победить могущественного Таноса, прежде чем его разрушительная и разрушительная сила положит конец вселенной."
Жизнь Пи,"Adventure, Drama, Fantasy",2012,7.9,"Молодой человек, переживший катастрофу в море, попадает в эпическое путешествие, полное приключений и открытий. Будучи выброшенным на берег, он устанавливает неожиданную связь с другим выжившим: грозным бенгальским тигром."
Удивительный Человек-Паук,"Action, Adventure, Sci-Fi",2012,7.0,"После того, как Питера Паркера укусил генетически измененный паук, он обрел новые, паучьи способности и отправился на поиски разгадки тайны загадочной смерти своего родителя."
Тор: Царство тьмы,"Action, Adventure, Fantasy",2013,7.0,"Когда доктор Джейн Фостер подвергается проклятию могущественной сущности, известной как Эфир, Тору возвещают о космическом событии, известном как Конвергенция, и о геноциде Темных Эльфов."
Водить машину,"Crime, Drama",2011,7.8,"Таинственный голливудский каскадер и механик подрабатывает водителем, сбегающим с места преступления, и попадает в беду, когда ему приходится помочь соседу."
Наизнанку,"Animation, Adventure, Comedy",2015,8.2,"После того, как юная Райли покидает свою жизнь на Среднем Западе и переезжает в Сан-Франциско, ее эмоции — Радость, Страх, Гнев, Отвращение и Печаль — сталкиваются с проблемой, как лучше всего приспособиться к новому городу, дому и школе."
Заключенные,"Crime, Drama, Mystery",2013,8.1,"Когда дочь Келлера Довера и ее подруга пропадают, он берет дело в свои руки, поскольку полиция расследует множество версий, а давление нарастает."
Отряд Самоубийц,"Action, Adventure, Fantasy",2016,6.1,"Секретное правительственное агентство вербует некоторых из самых опасных заключенных суперзлодеев, чтобы сформировать оборонительную оперативную группу. Их первая миссия: спасти мир от апокалипсиса."
Замороженный,"Animation, Adventure, Comedy",2013,7.5,"Когда недавно коронованная королева Эльза случайно использует свою силу превращать вещи в лед, чтобы навлечь на свой дом вечную зиму, ее сестра Анна объединяется с горцем, его игривым оленем и снеговиком, чтобы изменить погодные условия."
Бёрдмэн или (Неожиданная добродетель невежества),"Comedy, Drama",2014,7.7,"Неудачливый актер-супергерой пытается возродить свою угасающую карьеру, написав сценарий, став режиссером и сыграв главную роль в бродвейской постановке."
Лупер,"Action, Crime, Drama",2012,7.4,"В 2074 году, когда мафия хочет избавиться от кого-то, цель отправляется в прошлое, где его поджидает наемный убийца — кто-то вроде Джо, — который однажды узнает, что мафия хочет «замкнуть круг», отправив в прошлое будущее «я» Джо для убийства."
Надрать задницу,"Action, Comedy",2010,7.6,"Дэйв Лизевски — незаметный старшеклассник и фанат комиксов, который однажды решает стать супергероем, хотя у него нет никаких способностей, подготовки или веских причин для этого."
Безграничный,"Mystery, Sci-Fi, Thriller",2011,7.4,"С помощью таинственной таблетки, которая позволяет ее потребителю получить доступ к ста процентам возможностей своего мозга, бедствующий писатель становится финансовым гением, но это также помещает его в новый мир, полный опасностей."
Прибытие,"Drama, Mystery, Sci-Fi",2016,7.9,"Военные нанимают лингвиста для общения с инопланетными формами жизни после того, как по всему миру приземлились двенадцать таинственных космических кораблей."
21 Джамп Стрит,"Action, Comedy, Crime",2012,7.2,"Пару неуспевающих полицейских отправляют обратно в местную среднюю школу, чтобы они вписались в коллектив и раскрыли сеть по сбыту синтетических наркотиков."
Восстание планеты обезьян,"Action, Drama, Sci-Fi",2011,7.6,"Вещество, призванное помочь мозгу восстановиться, наделило шимпанзе, возглавившего восстание обезьян, развитым интеллектом."
Доктор Стрэндж,"Action, Adventure, Fantasy",2016,7.5,"Находясь на пути физического и духовного исцеления, блестящий нейрохирург оказывается вовлечённым в мир мистических искусств."
Человек-муравей,"Action, Adventure, Comedy",2015,7.3,"Вооружившись суперкостюмом с удивительной способностью уменьшаться в размерах, но увеличивать свою силу, грабитель Скотт Лэнг должен раскрыть в себе героя и помочь своему наставнику, доктору Хэнку Пиму, спланировать и осуществить ограбление, которое спасет мир."
Гадкий я,"Animation, Comedy, Family",2010,7.7,"Когда преступный гений использует трех девочек-сирот в качестве пешек для своего грандиозного плана, он обнаруживает, что их любовь кардинально меняет его в лучшую сторону."
Изгой-один,"Action, Adventure, Sci-Fi",2016,7.8,Дочь имперского ученого присоединяется к Альянсу повстанцев в рискованном походе по краже чертежей Звезды Смерти.
Ее,"Drama, Romance, Sci-Fi",2013,8.0,"В недалеком будущем одинокий писатель заводит необычные отношения с операционной системой, призванной удовлетворить все его потребности."
Чудо-женщина,"Action, Adventure, Fantasy",2017,7.5,"Когда пилот терпит крушение и рассказывает о конфликте во внешнем мире, Диана, амазонская воительница, проходящая обучение, покидает дом, чтобы сражаться на войне, открывая для себя всю свою силу и истинное предназначение."
Забвение,"Action, Adventure, Mystery",2013,7.0,"Ветеран, которому поручено добывать оставшиеся ресурсы Земли, начинает сомневаться в том, что он знает о своей миссии и о себе."
Исходный код,"Mystery, Romance, Sci-Fi",2011,7.5,"Солдат просыпается в чужом теле и обнаруживает, что он является частью экспериментальной правительственной программы по поиску террориста-смертника пригородного поезда. На выполнение задания у него есть всего 8 минут."
Звездный путь во тьму,"Action, Adventure, Sci-Fi",2013,7.7,"После того, как экипаж «Энтерпрайза» обнаруживает непреодолимую силу террора внутри своей собственной организации, капитан Кирк возглавляет охоту на человека в зоне боевых действий, чтобы захватить оружие массового поражения, управляемое одним человеком."
Тихоокеанский рубеж,"Action, Adventure, Sci-Fi",2013,6.9,"В то время как война между человечеством и чудовищными морскими существами продолжается, бывший пилот и стажер объединяются, чтобы управлять, казалось бы, устаревшим специальным оружием в отчаянной попытке спасти мир от апокалипсиса."
Пираты Карибского моря: На странных берегах,"Action, Adventure, Fantasy",2011,6.6,"Джек Воробей и Барбосса отправляются на поиски неуловимого источника молодости, но обнаруживают, что Черная Борода и его дочь тоже охотятся за ним."
Дюнкерк,"Action, Drama, History",2017,7.9,"Солдаты союзников из Бельгии, Британской империи и Франции окружены немецкой армией и эвакуированы во время ожесточенного сражения Второй мировой войны."
"Безумная, глупая, любовь.","Comedy, Drama, Romance",2011,7.4,"Жизнь мужа средних лет резко меняется, когда его жена просит его о разводе. Он пытается заново обрести свою мужественность с помощью нового друга, Джейкоба, учась знакомиться с девушками в барах."
Звездные войны: Эпизод VIII - Последние джедаи,"Action, Adventure, Fantasy",2017,7.2,"Рей развивает свои недавно обнаруженные способности под руководством Люка Скайуокера, который обеспокоен силой ее способностей. Тем временем Сопротивление готовится к битве с Первым Орденом."
Хоббит: Битва пяти воинств,"Adventure, Fantasy",2014,7.4,"Бильбо и его компания вынуждены вступить в войну с многочисленными противниками и не допустить, чтобы Одинокая Гора попала в руки надвигающейся тьмы."
Похмелье Часть II,"Comedy, Mystery",2011,6.5,"Спустя два года после мальчишника в Лас-Вегасе Фил, Стю, Алан и Дуг летят в Таиланд на свадьбу Стю. Однако план Стю провести скромный предсвадебный бранч серьезно срывается."
Стражи Галактики: Том 2,"Action, Adventure, Comedy",2017,7.7,"Стражи должны бороться за сохранение своей новой семьи, разгадывая тайну истинного происхождения Питера Квилла."
Великий Гэтсби,"Drama, Romance",2013,7.3,"Писатель и трейдер с Уолл-стрит Ник обнаруживает, что его влечет прошлое и образ жизни его соседа-миллионера Джея Гэтсби."
Миссия невыполнима - Протокол Фантом,"Action, Adventure, Thriller",2011,7.4,"МВФ закрывается после того, как его обвиняют в организации бомбардировки Кремля, из-за чего Итан Хант и его новая команда вынуждены пойти на крайние меры, чтобы очистить имя своей организации."
Хорошо быть тихоней,"Drama, Romance",2012,8.0,"Первокурсника-интроверта берут под опеку двое старшеклассников, которые приветствуют его в реальном мире."
Черная пантера,"Action, Adventure, Sci-Fi",2018,7.4,"Т'Чалла, наследник скрытого, но развитого королевства Ваканда, должен выступить вперед, чтобы повести свой народ в новое будущее, и должен противостоять противнику из прошлого своей страны."
Омерзительная восьмерка,"Crime, Drama, Mystery",2015,7.8,"В разгар зимы в Вайоминге охотник за головами и его пленник находят убежище в хижине, в которой в настоящее время обитает группа мерзких личностей."
Американская суета,"Crime, Drama",2013,7.3,"Мошенник Ирвинг Розенфельд вместе со своей соблазнительной партнершей Сидни Проссер вынуждены работать на дикого агента ФБР Ричи ДиМасо, который втягивает их в мир влиятельных лиц Джерси и мафии."
Джон Уик,"Action, Crime, Thriller",2014,7.3,"Бывший киллер возвращается из отставки, чтобы выследить гангстеров, убивших его собаку и отнявших у него все."
Гарри Поттер и Дары Смерти: Часть 1,"Adventure, Family, Fantasy",2010,7.7,"Пока Гарри бежит со временем и злом, чтобы уничтожить крестражи, он узнает о существовании трех самых могущественных предметов в волшебном мире: Даров Смерти."
Из машины,"Drama, Mystery, Sci-Fi",2014,7.7,Молодого программиста выбирают для участия в новаторском эксперименте по созданию искусственного интеллекта путем оценки человеческих качеств потрясающего гуманоидного искусственного интеллекта.
Ла-Ла Ленд,"Comedy, Drama, Music",2016,8.1,"Пианист и актриса строят свою карьеру в Лос-Анджелесе, пытаясь при этом примирить свои устремления на будущее."
Тор: Рагнарёк,"Action, Adventure, Comedy",2017,7.9,"Тор заключён в тюрьму на планете Сакаар и должен бороться со временем, чтобы вернуться в Асгард и остановить Рагнарёк — разрушение его мира руками могущественной и безжалостной злодейки Хелы."
Воин,"Drama, Sport",2011,8.2,"Младший сын бывшего боксера-алкоголика возвращается домой, где отец тренирует его для участия в турнире по смешанным боевым искусствам. Этот путь ставит бойца на путь столкновения со своим отчужденным старшим братом."
Ужасные боссы,"Comedy, Crime",2011,6.9,"Трое друзей решают убить своих ужасных боссов, когда понимают, что те стоят на пути их счастья."
Дивергентный,"Action, Adventure, Mystery",2014,6.7,"В мире, разделенном на фракции, основанные на добродетелях, Трис понимает, что она Дивергент и не хочет вписываться в общество. Когда она обнаруживает заговор с целью уничтожить Дивергентов, Трис и таинственная Четверка должны выяснить, что делает Дивергентов опасными, пока не стало слишком поздно."
Клуб покупателей Далласа,"Biography, Drama",2013,8.0,"В 1985 году в Далласе электрик и мошенник Рон Вудруф работает в системе, помогая больным СПИДом получать необходимые им лекарства после того, как у него самого диагностировали это заболевание."
Люси,"Action, Sci-Fi, Thriller",2014,6.4,"Женщина, случайно попавшаяся на темной сделке, переворачивает ситуацию со своими похитителями и превращается в беспощадного воина, вышедшего за рамки человеческой логики."
Американский снайпер,"Action, Biography, Drama",2014,7.3,"Снайпер ВМС США Крис Кайл с его безупречной точностью спасает бесчисленное количество жизней на поле боя и превращает его в легенду. Однако, вернувшись домой к жене и детям после четырех сроков службы, Крис понимает, что не может оставить позади войну."
Росомаха,"Action, Adventure, Sci-Fi",2013,6.7,"Когда старый знакомый вызывает Росомаху в Японию, он оказывается втянутым в конфликт, который заставляет его противостоять собственным демонам."
Элизиум,"Action, Drama, Sci-Fi",2013,6.6,"В 2154 году самые богатые живут на искусственной космической станции, в то время как остальное население проживает на разрушенной Земле. Человек берет на себя миссию, которая может принести равенство поляризованным мирам."
Ночной змей,"Crime, Drama, Thriller",2014,7.9,"Когда Луис Блум, мошенник, отчаянно ищущий работу, врывается в мир криминальной журналистики Лос-Анджелеса, он стирает грань между наблюдателем и участником, чтобы стать звездой собственной истории."
Шерлок Холмс: Игра теней,"Action, Adventure, Crime",2011,7.5,"Шерлок Холмс и его помощник доктор Ватсон объединяют усилия, чтобы перехитрить и победить своего самого жестокого противника, профессора Мориарти."
Рассвет планеты обезьян,"Action, Adventure, Drama",2014,7.6,"Растущей нации генетически модифицированных обезьян во главе с Цезарем угрожает группа людей, выживших после разрушительного вируса, выпущенного на свободу десятилетием ранее."
Помощь,Drama,2011,8.1,"Начинающий автор во время движения за гражданские права 1960-х годов решает написать книгу, в которой подробно излагает точку зрения афроамериканских горничных на белые семьи, в которых они работают, и трудности, с которыми им приходится сталкиваться ежедневно."
Торопиться,"Action, Biography, Drama",2013,8.1,Беспощадное соперничество 1970-х годов между соперниками по «Формуле-1» Джеймсом Хантом и Ники Лаудой.
Капитан Филлипс,"Biography, Drama, Thriller",2013,7.8,"Реальная история капитана Ричарда Филлипса и захвата сомалийскими пиратами в 2009 году судна MV Maersk Alabama под флагом США, первого американского грузового судна, захваченного за двести лет."
Девушка с татуировкой дракона,"Crime, Drama, Mystery",2011,7.8,"Журналист Микаэль Блумквист получает помощь в поисках женщины, пропавшей сорок лет назад, от Лисбет Саландер, молодого компьютерного хакера."
Заклинание,"Horror, Mystery, Thriller",2013,7.5,"Исследователи паранормальных явлений Эд и Лоррейн Уоррен пытаются помочь семье, которую терроризирует темное присутствие в их фермерском доме."
